,locusTag,baseMean,log2FoldChange,lfcSE,pvalue,padj,abs_log2,name,symbol,chromosome,KO_anno,KO_desc
4,Bcen2424_4447,4584.092302,2.940904179,0.306715748,4.42E-23,6.54E-20,2.940904179,isocitrate lyase,,2,K01637,K01637 isocitrate lyase [EC:4.1.3.1] 
8,Bcen2424_5093,288.0804372,-2.938411242,0.333362309,5.78E-20,4.28E-17,2.938411242,glycosyltransferase family 2 protein,,2,K12990,K12990 rhamnosyltransferase [EC:2.4.1.-] 
22,Bcen2424_3180,385.3546987,-2.900910376,0.402056604,2.38E-14,6.41E-12,2.900910376,LuxR family transcriptional regulator,,2,K20540,"K20540 LuxR family transcriptional regulator, quorum-sensing system regulator CepR2 "
7,Bcen2424_5096,1290.559966,-2.898675858,0.328343439,5.60E-20,4.28E-17,2.898675858,isoprenylcysteine carboxylmethyltransferase family protein,,2,NA,no KO assigned 
12,Bcen2424_2772,728.8472093,-2.834559077,0.334532591,1.13E-18,5.55E-16,2.834559077,acetyl-CoA C-acetyltransferase,,1,K00626,K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
24,Bcen2424_5092,570.9172729,-2.791701504,0.396735643,8.77E-14,2.16E-11,2.791701504,efflux transporter outer membrane subunit,,2,NA,no KO assigned 
26,Bcen2424_2770,69.29924708,-2.734529178,0.403804798,6.26E-13,1.42E-10,2.734529178,hypothetical protein,,1,NA,no KO assigned 
21,Bcen2424_5097,1595.217565,-2.705078219,0.370343671,1.30E-14,3.66E-12,2.705078219,alpha/beta hydrolase,,2,K18100,K18100 rhamnosyltransferase subunit A [EC:2.4.1.-] 
9,Bcen2424_5094,345.4052379,-2.682584153,0.305718027,8.18E-20,5.38E-17,2.682584153,DHA2 family efflux MFS transporter permease subunit,,2,K03446,"K03446 MFS transporter, DHA2 family, multidrug resistance protein "
1,Bcen2424_4695,5680.137212,2.553999398,0.179344435,2.53E-47,1.50E-43,2.553999398,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,acnB,2,K01682,K01682 aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] 
25,Bcen2424_5091,200.2544262,-2.543747682,0.374698594,5.11E-13,1.21E-10,2.543747682,HlyD family efflux transporter periplasmic adaptor subunit,,2,K03543,"K03543 membrane fusion protein, multidrug efflux system "
99,Bcen2424_4411,7426.242331,-2.445098636,0.626478506,3.38E-06,0.000202328,2.445098636,hypothetical protein,,2,NA,no KO assigned 
20,Bcen2424_1359,1055.828256,2.433823133,0.331838326,1.04E-14,3.09E-12,2.433823133,sigma-70 family RNA polymerase sigma factor,,1,K23514,"K23514 RNA polymerase sigma-19 factor, ECF subfamily "
2,Bcen2424_4808,3199.436588,2.374250704,0.224896913,2.24E-27,6.64E-24,2.374250704,TonB-dependent siderophore receptor,,2,K16090,K16090 catecholate siderophore receptor 
58,Bcen2424_3479,23279.03314,-2.337444251,0.455834349,1.21E-08,1.23E-06,2.337444251,hypothetical protein,,2,NA,no KO assigned 
46,Bcen2424_5090,106.2420308,-2.334415784,0.407243698,4.43E-10,5.70E-08,2.334415784,"formaldehyde dehydrogenase, glutathione-independent",fdhA,2,K00148,K00148 glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46] 
44,Bcen2424_1360,406.0054171,2.311322964,0.400710152,3.08E-10,4.15E-08,2.311322964,DUF4880 domain-containing protein,,1,K07165,K07165 transmembrane sensor 
128,Bcen2424_4410,4429.441276,-2.27507571,0.683756615,2.86E-05,0.001324507,2.27507571,patatin,,2,K06900,K06900 uncharacterized protein 
37,Bcen2424_3189,280.0768378,-2.245256123,0.371045386,6.16E-11,9.85E-09,2.245256123,LysR family transcriptional regulator,,2,NA,no KO assigned 
31,Bcen2424_5240,823.5654797,2.192150847,0.338565666,4.41E-12,8.42E-10,2.192150847,isovaleryl-CoA dehydrogenase,,2,K00253,K00253 isovaleryl-CoA dehydrogenase [EC:1.3.8.4] 
41,Bcen2424_0226,1192.08779,2.182440962,0.369125122,1.55E-10,2.21E-08,2.182440962,hypothetical protein,,1,NA,no KO assigned 
53,Bcen2424_1628,164.0969258,-2.149790642,0.400380626,3.39E-09,3.78E-07,2.149790642,molecular chaperone,,1,K07346,K07346 fimbrial chaperone protein 
6,Bcen2424_4810,456.7241899,2.146535242,0.242765627,4.61E-20,4.28E-17,2.146535242,Fe2+-dependent dioxygenase,,2,K07336,K07336 PKHD-type hydroxylase [EC:1.14.11.-] 
59,Bcen2424_4933,1488.596104,-2.144020084,0.420171819,1.24E-08,1.24E-06,2.144020084,membrane protein,,2,K19231,K19231 fibronectin-binding autotransporter adhesin 
73,Bcen2424_3490,36907.87618,-2.091415267,0.447428481,1.24E-07,1.01E-05,2.091415267,chlorinating enzyme,,2,K15650,"K15650 non-haem Fe2+, alpha-ketoglutarate-dependent halogenase "
17,Bcen2424_4811,64.61897086,2.06705729,0.269056494,7.97E-16,2.78E-13,2.06705729,type II toxin-antitoxin system Phd/YefM family antitoxin,,2,NA,no KO assigned 
33,Bcen2424_4917,474.5638472,-2.030470651,0.323433023,1.58E-11,2.83E-09,2.030470651,YodC family protein,,2,NA,no KO assigned 
96,Bcen2424_1626,3014.652131,-2.013069771,0.509413237,2.97E-06,0.000183114,2.013069771,type 1 fimbrial protein,,1,K07345,K07345 major type 1 subunit fimbrin (pilin) 
57,Bcen2424_2048,4105.217828,1.999596681,0.387317631,1.09E-08,1.13E-06,1.999596681,isocitrate lyase,aceA,1,K01637,K01637 isocitrate lyase [EC:4.1.3.1] 
70,Bcen2424_5722,2364.186924,-1.980549267,0.415940893,8.01E-08,6.77E-06,1.980549267,hypothetical protein,,2,NA,no KO assigned 
45,Bcen2424_1573,169.4553028,-1.971703767,0.342389129,3.87E-10,5.09E-08,1.971703767,DNA methyltransferase,,1,NA,no KO assigned 
110,BCEN2424_RS36775,9.779770818,-1.965635667,0.512636304,7.75E-06,0.000417212,1.965635667,hypothetical protein,,1,NA,NA
13,Bcen2424_4809,290.7129886,1.948001589,0.241876927,3.92E-17,1.78E-14,1.948001589,sel1 repeat family protein,,2,K07126,K07126 uncharacterized protein 
88,BCEN2424_RS37010,31.56542173,-1.944292813,0.470222208,1.55E-06,0.000104131,1.944292813,hypothetical protein,,2,NA,NA
52,Bcen2424_2257,423.3859576,-1.934505016,0.351943748,1.73E-09,1.97E-07,1.934505016,carbonic anhydrase,,1,K01673,K01673 carbonic anhydrase [EC:4.2.1.1] 
83,Bcen2424_3480,17184.34419,-1.926591288,0.444736287,5.92E-07,4.22E-05,1.926591288,molybdenum cofactor biosynthesis protein MoaA,,2,K03750,K03750 molybdopterin molybdotransferase [EC:2.10.1.1] 
68,Bcen2424_3488,3891.667699,-1.902940349,0.39218959,5.94E-08,5.17E-06,1.902940349,thioesterase,,2,K01071,K01071 medium-chain acyl-[acyl-carrier-protein] hydrolase [EC:3.1.2.21] 
78,Bcen2424_5721,4153.273718,-1.897805572,0.427472076,3.55E-07,2.69E-05,1.897805572,hypothetical protein,,2,NA,no KO assigned 
14,Bcen2424_0492,444.5220906,-1.880307982,0.236632586,9.43E-17,3.99E-14,1.880307982,peptidase M1,,1,K01256,K01256 aminopeptidase N [EC:3.4.11.2] 
81,Bcen2424_3489,4917.571432,-1.873866297,0.424733462,4.19E-07,3.07E-05,1.873866297,hypothetical protein,,2,NA,no KO assigned 
19,Bcen2424_1362,92.22888797,1.862407931,0.250121165,5.56E-15,1.73E-12,1.862407931,hypothetical protein,,1,NA,no KO assigned 
91,Bcen2424_5066,8950.922099,-1.777927706,0.441757192,2.26E-06,0.000146895,1.777927706,peptidase,,2,K20274,K20274 zinc metalloprotease ZmpB 
75,Bcen2424_0248,3303.776122,-1.77384206,0.388608184,2.10E-07,1.66E-05,1.77384206,aquaporin Z,aqpZ,1,K06188,K06188 aquaporin Z 
38,Bcen2424_3484,1821.364348,-1.765991048,0.291768154,7.11E-11,1.11E-08,1.765991048,potassium transporter,,2,NA,no KO assigned 
42,Bcen2424_3485,3520.615184,-1.765722444,0.298573469,1.57E-10,2.21E-08,1.765722444,acyl-CoA dehydrogenase,,2,K00249,K00249 acyl-CoA dehydrogenase [EC:1.3.8.7] 
80,Bcen2424_3487,8736.989832,-1.749880554,0.395916088,4.12E-07,3.05E-05,1.749880554,amino acid adenylation domain-containing protein,,2,NA,no KO assigned 
217,Bcen2424_3801,434.6356232,-1.738943097,0.746286496,0.00052839,0.014399736,1.738943097,helix-turn-helix domain-containing protein,,2,NA,no KO assigned 
55,Bcen2424_5723,1164.33023,-1.732347911,0.325403917,4.57E-09,4.92E-07,1.732347911,TOMM precursor leader peptide-binding protein,,2,K09136,K09136 ribosomal protein S12 methylthiotransferase accessory factor 
65,Bcen2424_3486,4752.847719,-1.724504787,0.354956692,5.39E-08,4.91E-06,1.724504787,YbaK/EbsC family protein,,2,NA,no KO assigned 
79,Bcen2424_3481,3011.931715,-1.715990452,0.388312758,3.84E-07,2.88E-05,1.715990452,GNAT family N-acetyltransferase,,2,NA,no KO assigned 
101,Bcen2424_1627,578.3272386,-1.700881201,0.440841826,4.56E-06,0.000264882,1.700881201,fimbrial biogenesis outer membrane usher protein,,1,K12518,K12518 outer membrane usher protein PapC 
35,Bcen2424_2258,348.4605215,-1.700847547,0.276508433,3.54E-11,5.98E-09,1.700847547,SulP family inorganic anion transporter,,1,NA,no KO assigned 
142,Bcen2424_2996,308.6875539,-1.691172582,0.540801474,6.18E-05,0.002576613,1.691172582,polyamine ABC transporter substrate-binding protein,,1,K11073,K11073 putrescine transport system substrate-binding protein 
82,Bcen2424_1629,281.2307167,-1.680558362,0.383786929,5.25E-07,3.79E-05,1.680558362,fimbrial protein,,1,K07345,K07345 major type 1 subunit fimbrin (pilin) 
30,Bcen2424_5720,2659.910308,-1.637061568,0.252675512,4.10E-12,8.08E-10,1.637061568,TOMM system kinase/cyclase fusion protein,,2,NA,no KO assigned 
56,Bcen2424_3483,368.6669676,-1.607379321,0.30518987,6.29E-09,6.65E-07,1.607379321,glutathione S-transferase,,2,NA,no KO assigned 
40,Bcen2424_1361,219.7905003,1.582767723,0.263479061,9.30E-11,1.38E-08,1.582767723,TonB-dependent receptor,,1,K02014,K02014 iron complex outermembrane recepter protein 
162,Bcen2424_1516,663.0248057,-1.582379418,0.552713833,0.000140261,0.005124708,1.582379418,collagen-like triple helix repeat-containing protein,,1,NA,no KO assigned 
32,Bcen2424_R0074,246.9102811,-1.558587261,0.247433644,1.50E-11,2.77E-09,1.558587261,tRNA-Phe,,2,NA,no KO assigned 
51,Bcen2424_3818,1484.092821,-1.537523977,0.278823807,1.66E-09,1.93E-07,1.537523977,transposase,,2,NA,no KO assigned 
36,Bcen2424_5247,823.7397046,-1.513466615,0.247531849,4.92E-11,8.09E-09,1.513466615,hypothetical protein,,2,NA,no KO assigned 
126,Bcen2424_3005,132.6495918,-1.477237543,0.429583627,2.33E-05,0.001094146,1.477237543,CsgG/HfaB family protein,,1,NA,no KO assigned 
34,Bcen2424_5719,2096.235574,-1.459912167,0.235260848,2.79E-11,4.86E-09,1.459912167,FHA domain-containing protein,,2,NA,no KO assigned 
29,Bcen2424_0786,333.2913421,-1.441080705,0.220331985,3.16E-12,6.44E-10,1.441080705,adenylyl-sulfate kinase,cysC,1,K00860,K00860 adenylylsulfate kinase [EC:2.7.1.25] 
154,Bcen2424_3004,77.75255429,-1.432902742,0.476300241,9.72E-05,0.00373454,1.432902742,DUF4810 domain-containing protein,,1,NA,no KO assigned 
49,Bcen2424_2967,1785.701691,-1.425492415,0.255114751,1.11E-09,1.32E-07,1.425492415,LysR family transcriptional regulator,,1,NA,no KO assigned 
168,Bcen2424_2995,199.4799057,-1.412371076,0.506106902,0.000181272,0.006386605,1.412371076,aspartate aminotransferase family protein,,1,K12256,K12256 putrescine---pyruvate transaminase [EC:2.6.1.113] 
220,Bcen2424_2997,109.2331904,-1.411674093,0.597652878,0.000549057,0.014772135,1.411674093,polyamine ABC transporter ATP-binding protein,potA,1,K11076,K11076 putrescine transport system ATP-binding protein 
120,Bcen2424_4278,405.1112668,-1.393930008,0.393830473,1.61E-05,0.000793525,1.393930008,hypothetical protein,,2,K20275,K20275 nematocidal protein AidA 
67,Bcen2424_1518,580.004752,-1.362877758,0.281049191,5.77E-08,5.09E-06,1.362877758,prepilin peptidase,,1,K02278,K02278 prepilin peptidase CpaA [EC:3.4.23.43] 
74,Bcen2424_1670,2443.869257,-1.355910768,0.294742951,1.94E-07,1.55E-05,1.355910768,chitinase,,1,K01183,K01183 chitinase [EC:3.2.1.14] 
130,Bcen2424_4277,148.9709218,-1.348526427,0.401653759,3.13E-05,0.001424207,1.348526427,hypothetical protein,,2,NA,no KO assigned 
108,Bcen2424_1517,28871.74429,-1.340468347,0.353755187,6.33E-06,0.000347136,1.340468347,Flp family type IVb pilin,,1,K02651,K02651 pilus assembly protein Flp/PilA 
69,Bcen2424_5106,46.41506814,-1.324365503,0.27297117,6.10E-08,5.23E-06,1.324365503,cupin domain-containing protein,,2,NA,no KO assigned 
77,Bcen2424_4682,266.4209129,-1.317684576,0.291285647,2.90E-07,2.23E-05,1.317684576,hypothetical protein,,2,NA,no KO assigned 
180,Bcen2424_5067,1225.646324,-1.317652768,0.491033947,0.000255446,0.00839992,1.317652768,M20/M25/M40 family metallo-hydrolase,,2,K05994,K05994 bacterial leucyl aminopeptidase [EC:3.4.11.10] 
127,Bcen2424_5517,753.8282177,1.314549972,0.388138455,2.84E-05,0.001324507,1.314549972,methylisocitrate lyase,prpB,2,K03417,K03417 methylisocitrate lyase [EC:4.1.3.30] 
98,Bcen2424_5239,473.8542531,1.313512527,0.330387644,3.35E-06,0.000202228,1.313512527,methylcrotonoyl-CoA carboxylase,,2,K01969,K01969 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4] 
84,Bcen2424_1520,945.2852286,-1.310722779,0.303301765,7.17E-07,5.05E-05,1.310722779,Flp pilus assembly protein CpaB,cpaB,1,K02279,K02279 pilus assembly protein CpaB 
238,Bcen2424_2993,47.9870437,-1.305676395,0.602193578,0.000896697,0.022300618,1.305676395,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,,1,K07010,K07010 putative glutamine amidotransferase 
133,Bcen2424_3003,89.288192,-1.300379944,0.398603125,4.41E-05,0.001961082,1.300379944,DUF799 domain-containing protein,,1,NA,no KO assigned 
143,Bcen2424_3660,148.6136718,-1.297090337,0.412218341,6.41E-05,0.002652391,1.297090337,membrane protein,,2,NA,no KO assigned 
157,Bcen2424_2819,52.28097667,1.293293659,0.431258337,0.000106359,0.004009814,1.293293659,cytochrome bd-I oxidase subunit CydX,cydX,1,K00424,K00424 cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7] 
72,Bcen2424_2768,55.00703404,-1.268384739,0.268131415,1.15E-07,9.44E-06,1.268384739,hotdog family protein,,1,NA,no KO assigned 
76,Bcen2424_5724,150.1431982,-1.259345992,0.275440635,2.25E-07,1.75E-05,1.259345992,porin,,2,NA,no KO assigned 
113,Bcen2424_1521,1973.141687,-1.258529683,0.343500431,1.01E-05,0.000527167,1.258529683,type II and III secretion system protein family protein,,1,K02280,K02280 pilus assembly protein CpaC 
103,Bcen2424_0249,459.9284786,-1.231920471,0.316904146,4.83E-06,0.000277304,1.231920471,H-NS histone family protein,,1,K03746,K03746 DNA-binding protein H-NS 
225,Bcen2424_2598,49.52868822,1.226073862,0.528431303,0.000678254,0.017842595,1.226073862,L-iditol 2-dehydrogenase,,1,K08261,K08261 D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21] 
106,Bcen2424_3976,61.21946248,-1.216492727,0.316170586,5.40E-06,0.000301455,1.216492727,hypothetical protein,,2,NA,no KO assigned 
176,Bcen2424_2585,56.57266289,1.211907421,0.435486436,0.000209005,0.007028978,1.211907421,mannitol dehydrogenase family protein,,1,K00007,K00007 D-arabinitol 4-dehydrogenase [EC:1.1.1.11] 
204,Bcen2424_1755,110.8263067,1.17838369,0.473500061,0.000447216,0.012975845,1.17838369,fimbria/pilus outer membrane usher protein,,1,NA,no KO assigned 
214,Bcen2424_1756,2911.933152,1.175375294,0.486411835,0.000519329,0.014364053,1.175375294,OmpW family protein,,1,K07275,K07275 outer membrane protein 
132,Bcen2424_1527,224.7804402,-1.164001918,0.35244632,3.99E-05,0.001790437,1.164001918,DUF3613 domain-containing protein,,1,NA,no KO assigned 
188,Bcen2424_1544,761.7336668,1.15692157,0.440456583,0.000309296,0.0097379,1.15692157,ROK family protein,,1,NA,no KO assigned 
104,Bcen2424_5241,146.1469737,1.155036144,0.297436198,4.87E-06,0.000277396,1.155036144,TetR/AcrR family transcriptional regulator,,2,NA,no KO assigned 
141,Bcen2424_1625,36.84981886,-1.154406232,0.359852972,5.89E-05,0.002471531,1.154406232,hypothetical protein,,1,NA,no KO assigned 
71,Bcen2424_1731,218.3244699,-1.144941154,0.239024271,8.79E-08,7.33E-06,1.144941154,D-glycerate dehydrogenase,,1,K00090,K00090 glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215] 
218,Bcen2424_2535,79.30546523,-1.14405701,0.473277833,0.00053035,0.014399736,1.14405701,DUF2917 domain-containing protein,,1,NA,no KO assigned 
95,Bcen2424_1435,1327.411991,-1.134473476,0.283107444,2.88E-06,0.000179422,1.134473476,hypothetical protein,,1,NA,no KO assigned 
177,Bcen2424_2540,173.6739698,-1.128493266,0.407879691,0.000215004,0.007189892,1.128493266,DUF962 domain-containing protein,,1,NA,no KO assigned 
149,Bcen2424_1525,581.191292,-1.127507053,0.364617678,8.09E-05,0.003212892,1.127507053,type II secretion system F family protein,,1,K12511,K12511 tight adherence protein C 
145,Bcen2424_5238,272.281176,1.122268594,0.35532743,6.69E-05,0.002731703,1.122268594,enoyl-CoA hydratase/isomerase family protein,,2,K13766,K13766 methylglutaconyl-CoA hydratase [EC:4.2.1.18] 
114,Bcen2424_1902,156.8581483,-1.117055036,0.30301174,1.02E-05,0.000527167,1.117055036,hypothetical protein,,1,NA,no KO assigned 
250,Bcen2424_4692,193.1736802,1.115692635,0.558250079,0.001337031,0.031598164,1.115692635,hypothetical protein,,2,NA,no KO assigned 
107,Bcen2424_1519,492.6766457,-1.115677974,0.291902571,5.96E-06,0.00032943,1.115677974,pilus assembly protein,,1,NA,no KO assigned 
230,Bcen2424_3426,7574.324802,-1.111784169,0.492937251,0.000767251,0.019745047,1.111784169,TIGR01244 family phosphatase,,2,K04487,K04487 cysteine desulfurase [EC:2.8.1.7] 
187,Bcen2424_1523,1801.224947,-1.104550824,0.419317325,0.000307507,0.009733322,1.104550824,CpaF family protein,,1,K02283,K02283 pilus assembly protein CpaF [EC:7.4.2.8] 
164,Bcen2424_1571,2765.429134,-1.094823093,0.385886489,0.000151199,0.005457003,1.094823093,curculin (mannose-binding) lectin,,1,NA,no KO assigned 
86,Bcen2424_3476,570.6930325,-1.07563493,0.256968472,1.27E-06,8.73E-05,1.07563493,serine hydrolase,,2,NA,no KO assigned 
48,Bcen2424_4683,820.4552022,-1.073357663,0.190035515,8.88E-10,1.09E-07,1.073357663,NAD-glutamate dehydrogenase,,2,K15371,K15371 glutamate dehydrogenase [EC:1.4.1.2] 
257,Bcen2424_2655,227.5834553,1.071353075,0.558667789,0.001588438,0.036583515,1.071353075,MHS family MFS transporter,,1,NA,no KO assigned 
155,Bcen2424_1005,11189.12573,-1.066441946,0.351993674,0.000100182,0.003807149,1.066441946,cold-shock protein,,1,K03704,K03704 cold shock protein 
122,Bcen2424_4185,116.0058895,-1.04448475,0.29561156,1.88E-05,0.000911122,1.04448475,hypothetical protein,,2,NA,no KO assigned 
269,Bcen2424_4838,312.6171941,-1.039341065,0.587552443,0.002036407,0.044808526,1.039341065,winged helix-turn-helix transcriptional regulator,,2,NA,no KO assigned 
119,Bcen2424_3819,280.7433719,-1.038023288,0.28825587,1.46E-05,0.00072493,1.038023288,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,,2,K16011,K16011 mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8] 
195,Bcen2424_1526,1272.550673,-1.036180565,0.398640191,0.000348271,0.010571361,1.036180565,pilus assembly protein,,1,NA,no KO assigned 
63,Bcen2424_0278,828.1754424,1.030548093,0.209457403,4.69E-08,4.41E-06,1.030548093,branched-chain amino acid ABC transporter substrate-binding protein,,1,K01999,K01999 branched-chain amino acid transport system substrate-binding protein 
198,Bcen2424_3977,123.8732404,-1.020056338,0.397392591,0.000390804,0.011682683,1.020056338,UTP--glucose-1-phosphate uridylyltransferase GalU,galU,2,K00963,K00963 UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9] 
252,Bcen2424_4690,2256.357301,1.018268415,0.505608,0.001363937,0.032036283,1.018268415,universal stress protein,,2,NA,no KO assigned 
64,Bcen2424_5608,260.7231556,-1.018261859,0.207889374,5.39E-08,4.91E-06,1.018261859,triacylglycerol lipase,,2,NA,no KO assigned 
184,Bcen2424_1524,410.8266809,-1.014644925,0.376238014,0.000273681,0.008803912,1.014644925,pilus assembly protein,,1,K12510,K12510 tight adherence protein B 
131,Bcen2424_1528,933.4422039,-1.01244939,0.305246182,3.89E-05,0.00175664,1.01244939,membrane protein,,1,NA,no KO assigned 
194,Bcen2424_1529,1234.527867,-1.012131947,0.387743024,0.000344758,0.010518684,1.012131947,sigma-54-dependent Fis family transcriptional regulator,,1,NA,no KO assigned 
140,Bcen2424_3817,42.10982335,-1.007266736,0.309846547,5.55E-05,0.002345173,1.007266736,DUF3501 family protein,,2,NA,no KO assigned 
287,Bcen2424_3179,3001.550221,-1.004234392,0.610230484,0.002488275,0.051317427,1.004234392,2-isopropylmalate synthase,leuA,2,K01649,K01649 2-isopropylmalate synthase [EC:2.3.3.13] 
240,Bcen2424_1064,3315.859958,-1.001216912,0.458961029,0.000929543,0.022924843,1.001216912,D-amino acid dehydrogenase,,1,K00285,K00285 D-amino-acid dehydrogenase [EC:1.4.5.1] 
87,Bcen2424_0930,526.6486954,0.991898522,0.235028951,1.36E-06,9.25E-05,0.991898522,hypothetical protein,,1,NA,no KO assigned 
124,Bcen2424_4228,2984.273821,-0.980605663,0.280749222,2.24E-05,0.001065547,0.980605663,DUF3564 family protein,,2,NA,no KO assigned 
245,Bcen2424_1522,735.1154892,-0.943489475,0.436782582,0.001050236,0.025372845,0.943489475,fimbrial protein,,1,K02282,K02282 pilus assembly protein CpaE 
161,Bcen2424_0668,3649.531526,-0.941025839,0.317340388,0.000130204,0.004786802,0.941025839,Glu/Leu/Phe/Val dehydrogenase,,1,K00261,K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3] 
170,Bcen2424_4942,115.1849508,-0.930755815,0.325794573,0.000186597,0.006496866,0.930755815,cytochrome c,,2,NA,no KO assigned 
123,Bcen2424_1324,56.24460934,-0.923241903,0.262307485,2.23E-05,0.001065547,0.923241903,molecular chaperone,,1,NA,no KO assigned 
118,Bcen2424_5663,89.96727066,-0.922266002,0.251237702,1.21E-05,0.000605886,0.922266002,multidrug efflux SMR transporter,,2,K03297,K03297 small multidrug resistance pump 
324,Bcen2424_4989,1727.474325,0.917412847,0.626697284,0.003490976,0.063592587,0.917412847,MFS transporter,,2,K08224,"K08224 MFS transporter, YNFM family, putative membrane transport protein "
115,Bcen2424_5365,358.0615263,0.914196734,0.24596534,1.02E-05,0.000527167,0.914196734,class I SAM-dependent methyltransferase,,2,NA,no KO assigned 
121,Bcen2424_3011,194.9123852,0.913888846,0.255580823,1.83E-05,0.000894498,0.913888846,chromate transporter,,1,K07240,K07240 chromate transporter 
111,Bcen2424_3000,278.4333638,-0.912219806,0.240926033,7.84E-06,0.000418292,0.912219806,DUF3138 family protein,,1,NA,no KO assigned 
243,Bcen2424_3730,23.36084681,-0.909271753,0.405537352,0.00101381,0.024694405,0.909271753,DUF3761 domain-containing protein,,2,NA,no KO assigned 
293,Bcen2424_4214,16.20177381,-0.906872675,0.512081723,0.002651533,0.053564591,0.906872675,acyl carrier protein,,2,NA,no KO assigned 
323,Bcen2424_2998,40.55113938,-0.893509357,0.598626585,0.003479158,0.063592587,0.893509357,ABC transporter permease subunit,,1,K11075,K11075 putrescine transport system permease protein 
231,Bcen2424_4316,20.73734595,0.891657915,0.373116898,0.000793443,0.020330684,0.891657915,DMT family transporter,,2,NA,no KO assigned 
297,Bcen2424_0646,284.9176915,0.891036967,0.550088103,0.002903738,0.057750749,0.891036967,C4-dicarboxylate transporter DctA,,1,K11103,K11103 aerobic C4-dicarboxylate transport protein 
173,Bcen2424_2143,459.9851361,-0.88606735,0.312585599,0.000202922,0.006928622,0.88606735,aspartate/glutamate racemase family protein,,1,K01779,K01779 aspartate racemase [EC:5.1.1.13] 
181,Bcen2424_1009,103.6167717,0.884756626,0.321555307,0.00026575,0.008690467,0.884756626,DUF2946 domain-containing protein,,1,NA,no KO assigned 
186,Bcen2424_4746,88.67940644,0.883721619,0.326409748,0.000303948,0.009672414,0.883721619,efflux RND transporter periplasmic adaptor subunit,,2,K19586,"K19586 membrane fusion protein, multidrug efflux system "
260,Bcen2424_3491,1971.89031,-0.881204497,0.459549206,0.001773128,0.040313753,0.881204497,XRE family transcriptional regulator,,2,NA,no KO assigned 
60,Bcen2424_0825,2601.639923,-0.876104163,0.173648363,2.67E-08,2.64E-06,0.876104163,2-hydroxyacid dehydrogenase,,1,K03778,K03778 D-lactate dehydrogenase [EC:1.1.1.28] 
144,Bcen2424_0487,2170.961162,-0.874319413,0.274354069,6.62E-05,0.002721408,0.874319413,hypothetical protein,,1,NA,no KO assigned 
